จังหวัด,เขตเลือกตั้งที่,ผู้มาใช้สิทธิ์ ส.ส. เขต,ผู้มาใช้สิทธิ์ บัญชีรายชื่อ,ผลต่าง บัตร,พรรคชนะ ส.ส. เขต,พรรคชนะ บัญชีรายชือ,ผลต่าง เขต ที่ 1 - ที่ 2,ผลต่าง บัญชีรายชื่อ ที่ 1 - ที่ 2,,Last Update:
กระบี่,1,92613,92607,6,ภูมิใจไทย,ประชาธิปัตย์,28331,11140,,2026-02-10
กระบี่,2,78537,78612,-75,ภูมิใจไทย,ประชาธิปัตย์,20031,33354,,17:45:50
กระบี่,3,89805,85728,4077,ภูมิใจไทย,ประชาธิปัตย์,30326,31366,,
กรุงเทพมหานคร,1,78449,78155,294,ประชาชน,ประชาชน,18546,16714,,
กรุงเทพมหานคร,2,84672,84550,122,ประชาชน,ประชาชน,22053,20819,,
กรุงเทพมหานคร,3,77999,78327,-328,ประชาชน,ประชาชน,14490,19334,,
กรุงเทพมหานคร,4,74760,74571,189,ประชาชน,ประชาชน,8701,17329,,
กรุงเทพมหานคร,5,92193,91822,371,ประชาชน,ประชาชน,22281,25566,,
กรุงเทพมหานคร,6,96139,95985,154,ประชาชน,ประชาชน,28999,26213,,
กรุงเทพมหานคร,7,87360,87437,-77,ประชาชน,ประชาชน,27180,22963,,
กรุงเทพมหานคร,8,93179,92607,572,ประชาชน,ประชาชน,24162,21802,,
กรุงเทพมหานคร,9,97958,97497,461,ประชาชน,ประชาชน,30841,26192,,
กรุงเทพมหานคร,10,90627,90689,-62,ประชาชน,ประชาชน,19600,25530,,
กรุงเทพมหานคร,11,95230,95046,184,ประชาชน,ประชาชน,13346,25082,,
กรุงเทพมหานคร,12,100659,100578,81,ประชาชน,ประชาชน,30193,29382,,
กรุงเทพมหานคร,13,85806,86328,-522,ประชาชน,ประชาชน,26185,23896,,
กรุงเทพมหานคร,14,89044,89210,-166,ประชาชน,ประชาชน,13846,22252,,
กรุงเทพมหานคร,15,87827,88267,-440,ประชาชน,ประชาชน,14985,23046,,
กรุงเทพมหานคร,16,91334,91349,-15,ประชาชน,ประชาชน,27603,29237,,
กรุงเทพมหานคร,17,75113,75330,-217,ประชาชน,ประชาชน,11916,17073,,
กรุงเทพมหานคร,18,79260,79194,66,ประชาชน,ประชาชน,11914,20929,,
กรุงเทพมหานคร,19,89867,89867,0,ประชาชน,ประชาชน,22189,23482,,
กรุงเทพมหานคร,20,78913,78727,186,ประชาชน,ประชาชน,5663,23556,,
กรุงเทพมหานคร,21,87981,88211,-230,ประชาชน,ประชาชน,21571,27453,,
กรุงเทพมหานคร,22,87232,87319,-87,ประชาชน,ประชาชน,23188,23497,,
กรุงเทพมหานคร,23,95094,90844,4250,ประชาชน,ประชาชน,27749,25333,,
กรุงเทพมหานคร,24,91552,91523,29,ประชาชน,ประชาชน,29466,26917,,
กรุงเทพมหานคร,25,82288,82302,-14,ประชาชน,ประชาชน,12985,23549,,
กรุงเทพมหานคร,26,89312,89327,-15,ประชาชน,ประชาชน,24766,28103,,
กรุงเทพมหานคร,27,91070,91070,0,ประชาชน,ประชาชน,14874,30951,,
กรุงเทพมหานคร,28,77195,76799,396,ประชาชน,ประชาชน,27186,25522,,
กรุงเทพมหานคร,29,95801,95693,108,ประชาชน,ประชาชน,26300,27806,,
กรุงเทพมหานคร,30,96587,98344,-1757,ประชาชน,ประชาชน,31117,31595,,
กรุงเทพมหานคร,31,102192,102329,-137,ประชาชน,ประชาชน,28367,25513,,
กรุงเทพมหานคร,32,87928,88018,-90,ประชาชน,ประชาชน,24527,23502,,
กรุงเทพมหานคร,33,90725,90680,45,ประชาชน,ประชาชน,25654,23059,,
กาญจนบุรี,1,83288,83196,92,เพื่อไทย,ประชาชน,10087,14468,,
กาญจนบุรี,2,95234,95339,-105,ภูมิใจไทย,ประชาชน,12183,8593,,
กาญจนบุรี,3,103855,103776,79,ภูมิใจไทย,ประชาชน,9363,4321,,
กาญจนบุรี,4,88244,87903,341,ภูมิใจไทย,ประชาชน,33686,5657,,
กาญจนบุรี,5,84602,84498,104,เพื่อไทย,ประชาชน,11246,6654,,
กาฬสินธุ์,1,75579,74752,827,เพื่อไทย,ประชาชน,11943,511,,
กาฬสินธุ์,2,81689,81643,46,เพื่อไทย,เพื่อไทย,25437,9448,,
กาฬสินธุ์,3,76823,76947,-124,กล้าธรรม,ประชาชน,11680,1621,,
กาฬสินธุ์,4,82244,81621,623,เพื่อไทย,เพื่อไทย,9833,8879,,
กาฬสินธุ์,5,83156,83882,-726,ภูมิใจไทย,เพื่อไทย,22774,10628,,
กาฬสินธุ์,6,84214,83661,553,เพื่อไทย,เพื่อไทย,40561,20994,,
กำแพงเพชร,1,90981,90618,363,กล้าธรรม,ประชาชน,14360,15586,,
กำแพงเพชร,2,95492,95614,-122,กล้าธรรม,ประชาชน,8393,9386,,
กำแพงเพชร,3,79347,80036,-689,เพื่อไทย,ประชาชน,2577,5466,,
กำแพงเพชร,4,83456,83856,-400,เพื่อไทย,ประชาชน,9291,2191,,
ขอนแก่น,1,86314,80932,5382,ประชาชน,ประชาชน,11266,15806,,
ขอนแก่น,2,99877,99334,543,ประชาชน,ประชาชน,13379,21849,,
ขอนแก่น,3,83342,83197,145,กล้าธรรม,ประชาชน,611,1568,,
ขอนแก่น,4,92289,92164,125,เพื่อไทย,เพื่อไทย,17056,2606,,
ขอนแก่น,5,81282,81333,-51,กล้าธรรม,เพื่อไทย,4336,11117,,
ขอนแก่น,6,86315,86181,134,ภูมิใจไทย,เพื่อไทย,23940,3803,,
ขอนแก่น,7,88824,88625,199,เพื่อไทย,เพื่อไทย,11517,5652,,
ขอนแก่น,8,91152,91350,-198,กล้าธรรม,เพื่อไทย,5954,1012,,
ขอนแก่น,9,76079,75980,99,เพื่อไทย,เพื่อไทย,20938,19374,,
ขอนแก่น,10,82656,83761,-1105,ภูมิใจไทย,เพื่อไทย,6691,13536,,
ขอนแก่น,11,80798,80866,-68,ภูมิใจไทย,ภูมิใจไทย,34310,35,,
จันทบุรี,1,105152,104944,208,ภูมิใจไทย,ประชาชน,3117,10236,,
จันทบุรี,2,94138,94306,-168,ภูมิใจไทย,ประชาชน,11488,6456,,
จันทบุรี,3,96465,96465,0,ภูมิใจไทย,ประชาชน,4589,4503,,
ฉะเชิงเทรา,1,105262,105523,-261,เพื่อไทย,ประชาชน,3572,22750,,
ฉะเชิงเทรา,2,114004,113603,401,กล้าธรรม,ประชาชน,17923,15253,,
ฉะเชิงเทรา,3,98419,98025,394,กล้าธรรม,ประชาชน,29292,15990,,
ฉะเชิงเทรา,4,117546,117390,156,กล้าธรรม,ประชาชน,11128,28694,,
ชลบุรี,1,98894,98442,452,ภูมิใจไทย,ประชาชน,3783,14700,,
ชลบุรี,2,78872,78872,0,ประชาชน,ประชาชน,1083,12006,,
ชลบุรี,3,92645,92645,0,ภูมิใจไทย,ประชาชน,4960,17866,,
ชลบุรี,4,83770,83726,44,ภูมิใจไทย,ประชาชน,20213,6625,,
ชลบุรี,5,97667,94743,2924,ภูมิใจไทย,ประชาชน,26825,5010,,
ชลบุรี,6,88248,88747,-499,ประชาชน,ประชาชน,3751,16485,,
ชลบุรี,7,84276,84052,224,ประชาชน,ประชาชน,7435,24129,,
ชลบุรี,8,86649,86455,194,ภูมิใจไทย,ประชาชน,3597,15354,,
ชลบุรี,9,62578,62757,-179,ประชาชน,ประชาชน,2434,12997,,
ชลบุรี,10,84108,79374,4734,ประชาชน,ประชาชน,3480,10948,,
ชัยนาท,1,85157,85178,-21,เพื่อไทย,ประชาชน,8947,9530,,
ชัยนาท,2,90466,90276,190,ภูมิใจไทย,ภูมิใจไทย,36123,3383,,
ชัยภูมิ,1,14912,15241,-329,เพื่อไทย,เพื่อไทย,4134,249,,
ชัยภูมิ,2,83187,83111,76,เพื่อไทย,เพื่อไทย,38382,4776,,
ชัยภูมิ,3,75078,75689,-611,ภูมิใจไทย,ประชาชน,29738,1525,,
ชัยภูมิ,4,54838,54592,246,ภูมิใจไทย,เพื่อไทย,14891,2243,,
ชัยภูมิ,5,77587,77729,-142,เพื่อไทย,เพื่อไทย,4991,5218,,
ชัยภูมิ,6,84588,84625,-37,ภูมิใจไทย,เพื่อไทย,31790,885,,
ชัยภูมิ,7,75380,76294,-914,กล้าธรรม,เพื่อไทย,15537,9882,,
ชุมพร,1,97935,92241,5694,ภูมิใจไทย,ประชาธิปัตย์,11271,16530,,
ชุมพร,2,102097,102297,-200,ภูมิใจไทย,ประชาธิปัตย์,11286,28073,,
ชุมพร,3,92854,93463,-609,ภูมิใจไทย,ประชาธิปัตย์,12998,27041,,
ตรัง,1,94152,94078,74,ภูมิใจไทย,ประชาธิปัตย์,1398,31722,,
ตรัง,2,90495,90925,-430,ภูมิใจไทย,ประชาธิปัตย์,4818,46740,,
ตรัง,3,84202,89672,-5470,ประชาธิปัตย์,ประชาธิปัตย์,15802,45837,,
ตรัง,4,94316,94639,-323,ประชาธิปัตย์,ประชาธิปัตย์,20479,42989,,
ตราด,1,112944,113099,-155,ภูมิใจไทย,ภูมิใจไทย,39899,5657,,
ตาก,1,92848,93104,-256,ภูมิใจไทย,ประชาชน,11337,8518,,
ตาก,2,85013,85034,-21,กล้าธรรม,ประชาชน,5744,14193,,
ตาก,3,87110,86939,171,กล้าธรรม,ประชาชน,11300,11058,,
นครนายก,1,73481,74049,-568,กล้าธรรม,ประชาชน,3051,5042,,
นครนายก,2,81538,81538,0,ภูมิใจไทย,ประชาชน,5504,6414,,
นครปฐม,1,94083,93617,466,ภูมิใจไทย,ประชาชน,26469,12520,,
นครปฐม,2,87430,88179,-749,กล้าธรรม,ประชาชน,13177,19282,,
นครปฐม,3,88544,88261,283,ภูมิใจไทย,ประชาชน,24282,10585,,
นครปฐม,4,97530,97652,-122,ภูมิใจไทย,ประชาชน,24377,9738,,
นครปฐม,5,101823,101962,-139,ภูมิใจไทย,ประชาชน,15422,12002,,
นครปฐม,6,91420,91362,58,ประชาชน,ประชาชน,895,20488,,
นครพนม,1,88590,87401,1189,ภูมิใจไทย,ภูมิใจไทย,37595,7422,,
นครพนม,2,89746,89992,-246,เพื่อไทย,เพื่อไทย,32194,13942,,
นครพนม,3,88942,89046,-104,ภูมิใจไทย,เพื่อไทย,1747,12855,,
นครพนม,4,91103,91599,-496,เพื่อไทย,เพื่อไทย,5690,12529,,
นครราชสีมา,1,85005,85116,-111,ประชาชน,ประชาชน,8699,15876,,
นครราชสีมา,2,95437,95490,-53,เพื่อไทย,ประชาชน,3465,20167,,
นครราชสีมา,3,97321,97316,5,ประชาชน,ประชาชน,530,20162,,
นครราชสีมา,4,79563,77757,1806,เพื่อไทย,ประชาชน,6992,8213,,
นครราชสีมา,5,91146,91275,-129,เพื่อไทย,ภูมิใจไทย,7804,33,,
นครราชสีมา,6,81885,81345,540,เพื่อไทย,เพื่อไทย,8611,1393,,
นครราชสีมา,7,72610,72506,104,เพื่อไทย,เพื่อไทย,18185,6925,,
นครราชสีมา,8,78356,78403,-47,เพื่อไทย,เพื่อไทย,36781,7640,,
นครราชสีมา,9,83262,87229,-3967,ภูมิใจไทย,ภูมิใจไทย,14631,5319,,
นครราชสีมา,10,102879,102445,434,ภูมิใจไทย,ภูมิใจไทย,4941,3540,,
นครราชสีมา,11,85265,85423,-158,เพื่อไทย,เพื่อไทย,36714,8362,,
นครราชสีมา,12,86213,90376,-4163,เพื่อไทย,ประชาชน,29216,6669,,
นครราชสีมา,13,71744,72017,-273,เพื่อไทย,ประชาชน,3565,5067,,
นครราชสีมา,14,82123,81926,197,ประชาชน,ประชาชน,3244,17738,,
นครราชสีมา,15,89820,93049,-3229,เพื่อไทย,ประชาชน,9195,1036,,
นครราชสีมา,16,82925,82327,598,ภูมิใจไทย,ประชาชน,849,1592,,
นครศรีธรรมราช,1,94153,94153,0,ประชาธิปัตย์,ประชาธิปัตย์,8992,18730,,
นครศรีธรรมราช,2,89774,89719,55,ภูมิใจไทย,ประชาธิปัตย์,22867,38730,,
นครศรีธรรมราช,3,92797,92849,-52,ประชาธิปัตย์,ประชาธิปัตย์,11313,46209,,
นครศรีธรรมราช,4,97264,97635,-371,ประชาธิปัตย์,ประชาธิปัตย์,7247,45428,,
นครศรีธรรมราช,5,95930,95690,240,กล้าธรรม,ประชาธิปัตย์,5558,36944,,
นครศรีธรรมราช,6,99138,98935,203,ประชาธิปัตย์,ประชาธิปัตย์,20302,47771,,
นครศรีธรรมราช,7,94953,94986,-33,ภูมิใจไทย,ประชาธิปัตย์,9419,34588,,
นครศรีธรรมราช,8,91568,91954,-386,ภูมิใจไทย,ประชาธิปัตย์,26392,30229,,
นครศรีธรรมราช,9,78608,78998,-390,ภูมิใจไทย,ประชาธิปัตย์,7422,30645,,
นครสวรรค์,1,86040,86649,-609,ภูมิใจไทย,ประชาชน,20311,1805,,
นครสวรรค์,2,98220,98653,-433,ภูมิใจไทย,ภูมิใจไทย,17622,2453,,
นครสวรรค์,3,90090,90009,81,กล้าธรรม,ประชาชน,32415,10991,,
นครสวรรค์,4,81319,81316,3,ภูมิใจไทย,ภูมิใจไทย,40462,1666,,
นครสวรรค์,5,83155,83627,-472,ภูมิใจไทย,ภูมิใจไทย,44599,4607,,
นครสวรรค์,6,79946,80247,-301,ภูมิใจไทย,ประชาชน,3433,1578,,
นนทบุรี,1,92943,92974,-31,ประชาชน,ประชาชน,19905,22126,,
นนทบุรี,2,83203,83341,-138,ประชาชน,ประชาชน,16831,20619,,
นนทบุรี,3,80564,80582,-18,ประชาชน,ประชาชน,22972,22171,,
นนทบุรี,4,77244,76645,599,ประชาชน,ประชาชน,5996,16178,,
นนทบุรี,5,98977,99192,-215,ประชาชน,ประชาชน,9493,20316,,
นนทบุรี,6,104901,105037,-136,ประชาชน,ประชาชน,17913,27852,,
นนทบุรี,7,94948,94516,432,ประชาชน,ประชาชน,19821,25003,,
นนทบุรี,8,98052,97806,246,ประชาชน,ประชาชน,9086,19049,,
นราธิวาส,1,92477,94977,-2500,กล้าธรรม,ประชาชาติ,5483,4140,,
นราธิวาส,2,72507,70414,2093,กล้าธรรม,ประชาชน,30006,1216,,
นราธิวาส,3,82161,75240,6921,กล้าธรรม,ประชาชาติ,113,5549,,
นราธิวาส,4,81814,82112,-298,ภูมิใจไทย,ประชาชาติ,6702,11511,,
นราธิวาส,5,84877,85228,-351,ประชาชาติ,ประชาชาติ,11684,15011,,
น่าน,1,92148,91799,349,ประชาชน,ประชาชน,6012,12195,,
น่าน,2,93393,84587,8806,กล้าธรรม,ประชาชน,8495,4942,,
น่าน,3,76667,76907,-240,ประชาชน,ประชาชน,5513,4795,,
บึงกาฬ,1,66872,70549,-3677,ภูมิใจไทย,เพื่อไทย,18246,5609,,
บึงกาฬ,2,73563,72567,996,ภูมิใจไทย,เพื่อไทย,6203,7530,,
บึงกาฬ,3,69303,69384,-81,ภูมิใจไทย,เพื่อไทย,19104,4215,,
บุรีรัมย์,1,76770,76626,144,ภูมิใจไทย,ภูมิใจไทย,41799,31666,,
บุรีรัมย์,2,82670,82745,-75,ภูมิใจไทย,ภูมิใจไทย,40785,27653,,
บุรีรัมย์,3,68118,68032,86,ภูมิใจไทย,ภูมิใจไทย,44523,31590,,
บุรีรัมย์,4,71088,66046,5042,ภูมิใจไทย,ภูมิใจไทย,37799,22447,,
บุรีรัมย์,5,77970,72251,5719,ภูมิใจไทย,ภูมิใจไทย,40675,25959,,
บุรีรัมย์,6,69506,69903,-397,ภูมิใจไทย,ภูมิใจไทย,38638,27994,,
บุรีรัมย์,7,71117,70555,562,ภูมิใจไทย,ภูมิใจไทย,29634,22696,,
บุรีรัมย์,8,79742,79642,100,ภูมิใจไทย,ภูมิใจไทย,35450,21354,,
บุรีรัมย์,9,67032,72515,-5483,ภูมิใจไทย,ภูมิใจไทย,44408,26336,,
บุรีรัมย์,10,65157,65171,-14,ภูมิใจไทย,ภูมิใจไทย,41527,28360,,
ปทุมธานี,1,96543,96550,-7,ประชาชน,ประชาชน,6962,23884,,
ปทุมธานี,2,97616,97498,118,เพื่อไทย,ประชาชน,4489,20277,,
ปทุมธานี,3,88840,88826,14,ประชาชน,ประชาชน,17929,27310,,
ปทุมธานี,4,90732,90682,50,ประชาชน,ประชาชน,20230,27037,,
ปทุมธานี,5,80064,80477,-413,ประชาชน,ประชาชน,18537,20860,,
ปทุมธานี,6,83592,82927,665,ประชาชน,ประชาชน,29189,27256,,
ปทุมธานี,7,87221,87495,-274,ภูมิใจไทย,ประชาชน,18736,11279,,
ปทุมธานี,8,80495,80956,-461,ภูมิใจไทย,ประชาชน,13543,9818,,
ประจวบคีรีขันธ์,1,107354,107597,-243,ภูมิใจไทย,ประชาชน,6756,822,,
ประจวบคีรีขันธ์,2,98341,98588,-247,กล้าธรรม,ประชาชน,19930,14988,,
ประจวบคีรีขันธ์,3,93201,93201,0,ภูมิใจไทย,ประชาธิปัตย์,7186,10640,,
ปราจีนบุรี,1,89864,90264,-400,ภูมิใจไทย,ประชาชน,13008,10925,,
ปราจีนบุรี,2,101887,101584,303,ภูมิใจไทย,ประชาชน,10713,13225,,
ปราจีนบุรี,3,86149,85888,261,ภูมิใจไทย,ประชาชน,21356,8505,,
ปัตตานี,1,65876,70249,-4373,ภูมิใจไทย,ประชาชน,7411,5845,,
ปัตตานี,2,77256,74403,2853,ภูมิใจไทย,ประชาชาติ,22983,279,,
ปัตตานี,3,65167,65065,102,ภูมิใจไทย,ประชาชาติ,5255,8958,,
ปัตตานี,4,75911,79021,-3110,กล้าธรรม,ประชาชาติ,3112,4850,,
ปัตตานี,5,70160,69928,232,ภูมิใจไทย,ประชาชาติ,10173,12150,,
พระนครศรีอยุธยา,1,99087,98239,848,ภูมิใจไทย,ประชาชน,8435,13015,,
พระนครศรีอยุธยา,2,98074,97628,446,ภูมิใจไทย,ประชาชน,26522,6172,,
พระนครศรีอยุธยา,3,100194,99961,233,ภูมิใจไทย,ประชาชน,26019,13876,,
พระนครศรีอยุธยา,4,102574,101712,862,ภูมิใจไทย,ประชาชน,19150,10367,,
พระนครศรีอยุธยา,5,98147,98233,-86,ภูมิใจไทย,ประชาชน,18387,2087,,
พะเยา,1,85161,85086,75,กล้าธรรม,กล้าธรรม,48578,31703,,
พะเยา,2,91717,91995,-278,กล้าธรรม,กล้าธรรม,33014,6995,,
